Gamma:-0.918164,-0.86126;-0.734778,-0.599752;-0.513975,-0.351806;-0.283826,-0.10996;-0.0400818,0.122087;0.1947,0.358602;0.363264,0.642395;0.308758,0.929417;-0.0116855,0.975031;-0.325631,0.881462;-0.587493,0.685808;-0.672545,0.377533;-0.594118,0.0579296;-0.398059,-0.211753;-0.141516,-0.421511;0.116766,-0.624325;0.345017,-0.795317;0.408826,-0.505048;0.698665,-0.440199;1,-0.510376;
Delta:0.662051,-0.885971;0.447411,-0.968901;0.210769,-1;-0.0342521,-0.988753;-0.231576,-0.863112;-0.291648,-0.636625;-0.259286,-0.394965;-0.162183,-0.168275;-0.0379005,0.0415866;0.113464,0.234416;0.280891,0.41221;0.446636,0.588321;0.430845,0.720806;0.189909,0.700073;-0.0446921,0.652507;-0.275433,0.59641;-0.42641,0.473575;-0.359295,0.259771;-0.175768,0.11956;-0.0428571,-0.0255678;
Epsilon:0.886944,-0.991236;0.682811,-1;0.484645,-0.956606;0.30159,-0.870385;0.145088,-0.740175;0.00216626,-0.597254;-0.120065,-0.432077;-0.20713,-0.247731;-0.213203,-0.0451772;-0.0721848,0.0779987;0.12418,0.113056;0.0695929,0.0779987;-0.130198,0.104785;-0.308705,0.189409;-0.445217,0.320625;-0.405619,0.476929;-0.23378,0.551266;-0.0332773,0.568795;0.174486,0.568795;0.37862,0.560031;
Alpha:0.768847,-0.979456;0.653254,-0.768213;0.507635,-0.566799;0.343235,-0.378487;0.174993,-0.194303;-0.00502899,-0.0224881;-0.197335,0.137599;-0.404307,0.276668;-0.631917,0.375579;-0.755688,0.290014;-0.624591,0.0879051;-0.440981,-0.0756372;-0.232157,-0.195991;-0.0362028,-0.193659;0.0195927,0.0328356;0.0993006,0.255515;0.293697,0.39152;0.54137,0.39152;0.778969,0.32438;1,0.208192;
Beta:-1,0.767469;-0.960158,0.544972;-0.922275,0.303245;-0.87699,0.0632665;-0.775383,-0.159868;-0.626757,-0.352809;-0.442929,-0.517073;-0.220725,-0.618215;0.0192015,-0.666838;0.269871,-0.666838;0.512289,-0.646917;0.530536,-0.477589;0.39726,-0.298301;0.356235,-0.0675975;0.516982,0.0931494;0.673357,0.239977;0.508501,0.349129;0.299513,0.454041;0.0865983,0.557845;-0.0637168,0.558299;
Gamma:-0.739466,-0.80848;-0.480547,-0.618675;-0.243007,-0.368473;-0.00999926,-0.111686;0.218451,0.149436;0.377876,0.44144;0.377876,0.764589;0.124428,0.965443;-0.21024,1;-0.536933,0.919367;-0.750985,0.685865;-0.716428,0.352532;-0.549492,0.0556222;-0.327346,-0.206929;-0.0866007,-0.449533;0.143819,-0.701132;0.267011,-0.723522;0.418013,-0.45733;0.715665,-0.382278;0.988382,-0.555063;
Delta:0.687654,-0.936284;0.498619,-1;0.270802,-0.954825;0.10359,-0.788105;0.0184772,-0.57491;-0.00260345,-0.333356;0.036324,-0.0973859;0.140132,0.118463;0.28688,0.308941;0.44891,0.48159;0.388128,0.616325;0.147599,0.63538;-0.0989316,0.63538;-0.342955,0.62476;-0.569383,0.571663;-0.723665,0.424046;-0.594682,0.250478;-0.387025,0.147952;-0.174043,0.0619348;-0.0238421,-0.0654974;
Epsilon:0.609986,-0.579821;0.41316,-0.586321;0.22179,-0.547925;0.034396,-0.48955;-0.143172,-0.40056;-0.307638,-0.292719;-0.40405,-0.129661;-0.301506,0.0232413;-0.116402,0.083203;0.0773556,0.102704;0.03195,0.083203;-0.147891,0.13713;-0.258252,0.262416;-0.179236,0.400367;0.0117178,0.440716;0.209382,0.453716;0.408901,0.453716;0.607238,0.440716;0.804115,0.413309;1,0.375713;
Alpha:-0.326834,-0.893134;-0.222187,-0.641584;-0.0893988,-0.39291;0.0462558,-0.145716;0.142406,0.121406;0.152486,0.404688;0.0435031,0.654945;-0.185968,0.788649;-0.459139,0.730948;-0.660636,0.54781;-0.6836,0.285211;-0.532707,0.0510344;-0.325408,-0.141693;-0.0998982,-0.313606;0.114347,-0.489199;0.230943,-0.452988;0.322808,-0.201236;0.529951,-0.0447999;0.78579,-0.112696;1,-0.293101;
Beta:-0.456626,1;-0.468032,0.768965;-0.512649,0.54577;-0.547875,0.32239;-0.570687,0.0940474;-0.570687,-0.13968;-0.502251,-0.347092;-0.36554,-0.528257;-0.179256,-0.657511;0.0316894,-0.722324;0.216335,-0.689372;0.150128,-0.496432;0.17071,-0.273077;0.304298,-0.0966305;0.478428,0.0416381;0.638361,0.16903;0.501698,0.292821;0.31899,0.390611;0.150736,0.509537;-0.0117876,0.577974;
Gamma:-0.888309,-0.770211;-0.640437,-0.635346;-0.401567,-0.468104;-0.16992,-0.289326;0.0494285,-0.0926411;0.22953,0.132699;0.303424,0.409169;0.147141,0.642335;-0.122373,0.748828;-0.414816,0.765613;-0.65361,0.639435;-0.622356,0.362202;-0.446613,0.130891;-0.231235,-0.070669;-0.0228605,-0.276077;0.152359,-0.461382;0.219499,-0.202619;0.477923,-0.164209;0.75108,-0.227554;1,-0.342195;
Delta:0.517614,-0.963241;0.277491,-1;0.0507404,-0.919101;-0.164487,-0.805988;-0.318664,-0.621576;-0.315204,-0.377358;-0.190298,-0.168463;0.000236879,-0.0088663;0.207928,0.133124;0.421774,0.264261;0.622772,0.41524;0.665433,0.617417;0.444283,0.690936;0.188934,0.690936;-0.0634324,0.672556;-0.305793,0.614663;-0.533308,0.51469;-0.60973,0.338711;-0.411402,0.223091;-0.235955,0.121164;
Epsilon:0.774787,-0.981695;0.514836,-0.993583;0.261029,-0.935933;0.0175036,-0.831865;-0.197802,-0.67845;-0.389887,-0.494304;-0.53993,-0.280194;-0.588192,-0.0283579;-0.403308,0.149923;-0.146795,0.198974;0.122253,0.198974;0.298858,0.107713;0.0417817,0.135714;-0.175625,0.272194;-0.332663,0.459263;-0.184905,0.643528;0.0549175,0.740029;0.313403,0.792632;0.580086,0.803038;0.848007,0.793885;
Alpha:0.64109,-1;0.556672,-0.832114;0.488532,-0.645988;0.411335,-0.463179;0.308338,-0.29181;0.191174,-0.129996;0.0608153,0.0210206;-0.0741038,0.166431;-0.223801,0.297835;-0.385843,0.412891;-0.569351,0.469568;-0.627251,0.297022;-0.576285,0.111529;-0.427357,-0.0169213;-0.244427,-0.0731353;-0.0495776,-0.0526016;0.12515,0.0347624;0.280926,0.152089;0.397179,0.283287;0.513037,0.237852;
